########################################################
########################################################
##. . . . . . . . . . . . #### . . . . . . . . . . . .##
##                        ####                        ##
##. ########. ##########. #### .########## .######## .##
##  ########  ##########  ####  ##########  ########  ##
##o ########. ##########. #### .########## .######## o##
##  ########  ##########  ####  ##########  ########  ##
##. ########. ##########. #### .########## .######## .##
##  ########  ##########  ####  ##########  ########  ##
##. . . . . . . . . . . . .  . . . . . . . . . . . . .##
##                                                    ##
##. ########. ####. ################ .#### .######## .##
##  ########  ####  ################  ####  ########  ##
##. ########. ####. ################ .#### .######## .##
##  ########  ####  ################  ####  ########  ##
##. . . . . . ####. . . . #### . . . .#### . . . . . .##
##            ####        ####        ####            ##
############. ##########  ####  ########## .############
############  ##########  ####  ##########  ############
############. ##########  ####  ########## .############
############  ##########  ####  ##########  ############
############. ####                    #### .############
############  ####                    ####  ############
############. ####  ################  #### .############
############  ####  ################  ####  ############
############. ####  ##            ##  #### .############
############  ####  ##            ##  ####  ############
            . ####  ##  BBRRII    ##  #### .            
              ####  ##  BBRRII    ##  ####              
############. ####  ##            ##  #### .############
############  ####  ##            ##  ####  ############
############. ####  ################  #### .############
############  ####  ################  ####  ############
############. ####                    #### .############
############  ####                    ####  ############
############. ####  ################  #### .############
############  ####  ################  ####  ############
############. ####  ################  #### .############
############  ####  ################  ####  ############
##. . . . . . . . . . . . #### . . . . . . . . . . . .##
##                        ####                        ##
##. ########. ##########. #### .########## .######## .##
##  ########  ##########  ####  ##########  ########  ##
##. ########. ##########. #### .########## .######## .##
##  ########  ##########  ####  ##########  ########  ##
##o . . ####. . . . . . . .PP. . . . . . . .####CC . o##
##      ####               PP               ####CC    ##
######. ####. ####. ################ .#### .#### .######
######  ####  ####  ################  ####  ####  ######
######. ####. ####. ################ .#### .#### .######
######  ####  ####  ################  ####  ####  ######
##. . . . . . ####. . . . #### . . . .#### . . . . . .##
##            ####        ####        ####            ##
##. ####################. #### .#################### .##
##  ####################  ####  ####################  ##
##. ####################. #### .#################### .##
##  ####################  ####  ####################  ##
##. . . . . . . . . . . . .  . . . . . . . . . . . . .##
##                                                    ##
########################################################
########################################################
